Model,Epochs,Accuracy,Precision,Recall,F1,IoU
Norkart,NaN,0.9927576446533203,0.7517015733396569,0.6769404362218008,0.6904275877461683,0.6096606866152902
Baseline2,10000,0.6902742767333985,0.09068152539615026,0.7400546304279298,0.14500837314092152,0.08878894666913513
Baseline3,100,0.9926669311523437,0.7753222705427464,0.6789031709678826,0.6965765520608213,0.611627683285012
Baseline3,500,0.9927845764160156,0.7675008953713447,0.6618998972045657,0.6890759556823174,0.6078215614040169
Baseline3,600,0.9927664184570313,0.7692848451521553,0.6590885451660076,0.6885836873289005,0.6069367818436565
Baseline3,1000,0.9927476501464844,0.7686779547647282,0.6574947059002699,0.6886870053874798,0.6067570858787206
Baseline2,100,0.6924335479736328,0.0911663803877602,0.7388389210945833,0.14567119057419733,0.08924263953634741
